asset_id,kind,pwsid,pws_name,primacy_agency,population_served,service_connections,boundary_method,verification_status,data_source,echo_url,overlapping_systems
site-e3f13d4da0,site,MO1010415,KANSAS CITY PWS,MO,513800,178734,System Sourced,,https://services5.arcgis.com/OCY4MgI6bGqUzBPm/arcgis/rest/services/KCWater_Boundary_view/FeatureServer,https://echo.epa.gov/detailed-facility-report?fid=MO1010415&sys=SDWIS,1
site-79f8e8a702,site,CA3810011,SFPUC CITY DISTRIBUTION DIVISION,CA,848019,171099,System Sourced,Not Verified,https://gis.data.ca.gov/datasets/fbba842bf134497c9d611ad506ec48cc/explore,https://echo.epa.gov/detailed-facility-report?fid=CA3810011&sys=SDWIS,1
site-8abda5886f,site,OH3102612,CINCINNATI PUBLIC WATER SYSTEM,OH,750200,244716,System Sourced,Not Verified,https://gcww.maps.arcgis.com/apps/webappviewer/index.html?id=0a170c268c694e46a8a4e394630df0bd,https://echo.epa.gov/detailed-facility-report?fid=OH3102612&sys=SDWIS,1
site-73baf1f9d2,site,MN1270024,Minneapolis,MN,425300,98065,System Sourced,,https://www.minneapolismn.gov/resident-services/utility-services/water/water-quality/water-quality-lead/plumbing-faucets/lead-service-line-map/,https://echo.epa.gov/detailed-facility-report?fid=MN1270024&sys=SDWIS,1
site-9599644981,site,NH0691010,UNH/DURHAM WATER SYS,NH,16000,1250,System Sourced,,https://www.arcgis.com/home/item.html?id=f7f367ce57c74d2595c3e84a8f31ad74,https://echo.epa.gov/detailed-facility-report?fid=NH0691010&sys=SDWIS,1
site-1f599095a7,site,NH1951020,PEASE TRADE PORT,NH,9900,326,System Sourced,,https://www.arcgis.com/home/item.html?id=f7f367ce57c74d2595c3e84a8f31ad74,https://echo.epa.gov/detailed-facility-report?fid=NH1951020&sys=SDWIS,1
site-3769d404f0,site,MO1010415,KANSAS CITY PWS,MO,513800,178734,System Sourced,,https://services5.arcgis.com/OCY4MgI6bGqUzBPm/arcgis/rest/services/KCWater_Boundary_view/FeatureServer,https://echo.epa.gov/detailed-facility-report?fid=MO1010415&sys=SDWIS,1
site-ca41a43dcd,site,NC0114010,"LENOIR, CITY OF",NC,25573,10068,System Sourced,Verified ,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,https://echo.epa.gov/detailed-facility-report?fid=NC0114010&sys=SDWIS,1
site-394522b2e1,site,MO1010415,KANSAS CITY PWS,MO,513800,178734,System Sourced,,https://services5.arcgis.com/OCY4MgI6bGqUzBPm/arcgis/rest/services/KCWater_Boundary_view/FeatureServer,https://echo.epa.gov/detailed-facility-report?fid=MO1010415&sys=SDWIS,1
site-68d6f7394b,site,MO1010415,KANSAS CITY PWS,MO,513800,178734,System Sourced,,https://services5.arcgis.com/OCY4MgI6bGqUzBPm/arcgis/rest/services/KCWater_Boundary_view/FeatureServer,https://echo.epa.gov/detailed-facility-report?fid=MO1010415&sys=SDWIS,1
site-cfb4ef0f7e,site,MA3009000,ANDOVER WATER DEPT,MA,36569,10110,System Sourced,Verified,https://www.mass.gov/info-details/massgis-data-massdep-estimated-public-drinking-water-system-service-area-boundaries,https://echo.epa.gov/detailed-facility-report?fid=MA3009000&sys=SDWIS,1
site-3e204ec4f7,site,WA5377050,SEATTLE PUBLIC UTILITIES,WA,1091904,171515,System Sourced,,https://geo.wa.gov/datasets/WADOH::drinking-water-service-areas/explore,https://echo.epa.gov/detailed-facility-report?fid=WA5377050&sys=SDWIS,1
site-494ebb81e7,site,VA6059501,FAIRFAX COUNTY WATER AUTHORITY,VA,1121613,281686,System Sourced,,https://fairfaxwater.maps.arcgis.com/apps/instant/sidebar/index.html?appid=371af69b796b48ce84e63e3aebc5c0fb,https://echo.epa.gov/detailed-facility-report?fid=VA6059501&sys=SDWIS,1
site-6d1707f1b8,site,VA6059501,FAIRFAX COUNTY WATER AUTHORITY,VA,1121613,281686,System Sourced,,https://fairfaxwater.maps.arcgis.com/apps/instant/sidebar/index.html?appid=371af69b796b48ce84e63e3aebc5c0fb,https://echo.epa.gov/detailed-facility-report?fid=VA6059501&sys=SDWIS,1
site-ce38e011f1,site,VA6059501,FAIRFAX COUNTY WATER AUTHORITY,VA,1121613,281686,System Sourced,,https://fairfaxwater.maps.arcgis.com/apps/instant/sidebar/index.html?appid=371af69b796b48ce84e63e3aebc5c0fb,https://echo.epa.gov/detailed-facility-report?fid=VA6059501&sys=SDWIS,1
site-1d125162dc,site,WA5370450,QUINCY WATER DEPARTMENT CITY OF,WA,8415,2763,System Sourced,,https://geo.wa.gov/datasets/WADOH::drinking-water-service-areas/explore,https://echo.epa.gov/detailed-facility-report?fid=WA5370450&sys=SDWIS,1
site-e36d03b589,site,MO1010415,KANSAS CITY PWS,MO,513800,178734,System Sourced,,https://services5.arcgis.com/OCY4MgI6bGqUzBPm/arcgis/rest/services/KCWater_Boundary_view/FeatureServer,https://echo.epa.gov/detailed-facility-report?fid=MO1010415&sys=SDWIS,1
site-74fc5d7f4d,site,IL0430900,WEST CHICAGO,IL,25166,6869,Modeled,,,https://echo.epa.gov/detailed-facility-report?fid=IL0430900&sys=SDWIS,1
site-1fb24c5a14,site,OH2200203,ERIE CO MARGARETTA DISTRICT,OH,5131,2180,System Sourced,Not Verified,https://epa.ohio.gov/divisions-and-offices/drinking-and-ground-waters/reports-and-data/lead-lines-mapping,https://echo.epa.gov/detailed-facility-report?fid=OH2200203&sys=SDWIS,1
site-9ebc0dcf6f,site,CA1910040,"EL SEGUNDO-CITY, WATER DEPT.",CA,16445,6364,System Sourced,Verified,https://gis.data.ca.gov/datasets/fbba842bf134497c9d611ad506ec48cc/explore,https://echo.epa.gov/detailed-facility-report?fid=CA1910040&sys=SDWIS,1
site-cb02f1883d,site,VA4087125,HENRICO COUNTY WATER SYSTEM,VA,292000,95816,System Sourced,,https://services.arcgis.com/LxWK4CxNTBBlLshT/arcgis/rest/services/Parcel_Lead_Status_Point/FeatureServer/2,https://echo.epa.gov/detailed-facility-report?fid=VA4087125&sys=SDWIS,1
site-9624de1a57,site,FL4130871,MDWASA - MAIN SYSTEM,FL,2300000,560000,System Sourced,,https://experience.arcgis.com/experience/914132252dbb4639873d02988af59f23/page/english,https://echo.epa.gov/detailed-facility-report?fid=FL4130871&sys=SDWIS,1
site-036d58e7ec,site,WI1130224,MADISON WATER UTILITY,WI,272000,100740,System Sourced,,https://www.cityofmadison.com/water/water-quality/lead-copper-in-water/lead-service-line-inventory,https://echo.epa.gov/detailed-facility-report?fid=WI1130224&sys=SDWIS,1
site-37326288ad,site,CA4310011,SAN JOSE WATER,CA,1039920,237130,System Sourced,Not Verified,https://gis.data.ca.gov/datasets/fbba842bf134497c9d611ad506ec48cc/explore,https://echo.epa.gov/detailed-facility-report?fid=CA4310011&sys=SDWIS,2
site-b003d6d369,site,CA4310011,SAN JOSE WATER,CA,1039920,237130,System Sourced,Not Verified,https://gis.data.ca.gov/datasets/fbba842bf134497c9d611ad506ec48cc/explore,https://echo.epa.gov/detailed-facility-report?fid=CA4310011&sys=SDWIS,2
site-3ec6528031,site,CA1910179,"BURBANK-CITY, WATER DEPT.",CA,105603,27172,System Sourced,Verified,https://gis.data.ca.gov/datasets/fbba842bf134497c9d611ad506ec48cc/explore,https://echo.epa.gov/detailed-facility-report?fid=CA1910179&sys=SDWIS,1
site-5a5dca3a03,site,CA1910067,"LOS ANGELES-CITY, DEPT. OF WATER & POWER",CA,3856043,709623,System Sourced,Verified,https://gis.data.ca.gov/datasets/fbba842bf134497c9d611ad506ec48cc/explore,https://echo.epa.gov/detailed-facility-report?fid=CA1910067&sys=SDWIS,1
site-9a04dad6dc,site,TX0150018,SAN ANTONIO WATER SYSTEM,TX,1999472,725972,System Sourced,,https://www3.twdb.texas.gov/apps/WaterServiceBoundaries/Home/Overview,https://echo.epa.gov/detailed-facility-report?fid=TX0150018&sys=SDWIS,1
site-39d181b7c8,site,TX0150018,SAN ANTONIO WATER SYSTEM,TX,1999472,725972,System Sourced,,https://www3.twdb.texas.gov/apps/WaterServiceBoundaries/Home/Overview,https://echo.epa.gov/detailed-facility-report?fid=TX0150018&sys=SDWIS,1
site-023583e4d0,site,TN0000494,METRO WATER SERVICES,TN,778153,336863,System Sourced,,https://tdec-division-of-water-tdec.hub.arcgis.com/datasets/cc62b90b5775475c94f503cf225c5fd7_0,https://echo.epa.gov/detailed-facility-report?fid=TN0000494&sys=SDWIS,1
site-2ab7bf4fab,site,GA0670003,COBB COUNTY,GA,695000,183518,System Sourced,,,https://echo.epa.gov/detailed-facility-report?fid=GA0670003&sys=SDWIS,1
site-4b028a9847,site,OH2504412,COLUMBUS PUBLIC WATER SYSTEM,OH,1305946,284610,System Sourced,,https://service-line-inventory-columbus.hub.arcgis.com/,https://echo.epa.gov/detailed-facility-report?fid=OH2504412&sys=SDWIS,1
site-23ef4dc9c9,site,IN5203002,COLUMBUS MUNICIPAL UTILITY,IN,56490,22596,System Sourced,,https://www.arcgis.com/home/item.html?id=f9e31b43dbd84fe39763ba7a95e4fff3,https://echo.epa.gov/detailed-facility-report?fid=IN5203002&sys=SDWIS,1
site-e625f860e2,site,TX1010013,CITY OF HOUSTON,TX,2202531,954657,System Sourced,,https://www3.twdb.texas.gov/apps/WaterServiceBoundaries/Home/Overview,https://echo.epa.gov/detailed-facility-report?fid=TX1010013&sys=SDWIS,1
site-772d54c3e3,site,TX0570015,CITY OF RICHARDSON,TX,122615,58307,System Sourced,,https://www3.twdb.texas.gov/apps/WaterServiceBoundaries/Home/Overview,https://echo.epa.gov/detailed-facility-report?fid=TX0570015&sys=SDWIS,1
site-9d011da9e7,site,NJ0820001,WEST DEPTFORD TWP WATER DEPT,NJ,22000,5782,System Sourced,,https://rutgers.maps.arcgis.com/home/item.html?id=0cb88cd0315e48f491f2122cb824c158,https://echo.epa.gov/detailed-facility-report?fid=NJ0820001&sys=SDWIS,1
site-c2151ce879,site,NE3105507,METROPOLITAN UTILITIES DISTRICT,NE,600000,220882,System Sourced,,https://experience.arcgis.com/experience/0b2b8f5ae71b41e2b483db56eb4ad486,https://echo.epa.gov/detailed-facility-report?fid=NE3105507&sys=SDWIS,1
site-00ae4bc616,site,FL3480327,TOWN OF EATONVILLE,FL,2727,779,System Sourced,,https://data-floridaswater.opendata.arcgis.com/datasets/f2f54ba2896e464a890ce827644f250d_0/explore,https://echo.epa.gov/detailed-facility-report?fid=FL3480327&sys=SDWIS,1
site-81f5bcb956,site,MO2010429,KIRKSVILLE PWS,MO,17566,7336,Modeled,,,https://echo.epa.gov/detailed-facility-report?fid=MO2010429&sys=SDWIS,1
site-a756a74a7f,site,NJ1225001,MIDDLESEX WATER COMPANY,NJ,233376,58344,System Sourced,,https://rutgers.maps.arcgis.com/home/item.html?id=0cb88cd0315e48f491f2122cb824c158,https://echo.epa.gov/detailed-facility-report?fid=NJ1225001&sys=SDWIS,1
site-56dd7a2edc,site,TX2430001,CITY OF WICHITA FALLS,TX,102316,57144,System Sourced,,https://www3.twdb.texas.gov/apps/WaterServiceBoundaries/Home/Overview,https://echo.epa.gov/detailed-facility-report?fid=TX2430001&sys=SDWIS,1
site-ba781b4142,site,NJ2004002,NJ AMERICAN WATER - RARITAN,NJ,615430,205035,System Sourced,,https://rutgers.maps.arcgis.com/home/item.html?id=0cb88cd0315e48f491f2122cb824c158,https://echo.epa.gov/detailed-facility-report?fid=NJ2004002&sys=SDWIS,1
site-5f23fd8296,site,MT0000304,PHILIPSBURG  TOWN OF,MT,1360,544,Modeled,,,https://echo.epa.gov/detailed-facility-report?fid=MT0000304&sys=SDWIS,1
site-00d2f02310,site,CO0203002,ARAPAHOE CNTY WWWA,CO,31000,3951,System Sourced,,https://www.arcgis.com/home/item.html?id=186d23c71dee48fd84e915924c028b70,https://echo.epa.gov/detailed-facility-report?fid=CO0203002&sys=SDWIS,1
site-e8b6fe991e,site,NY5903465,YONKERS CITY,NY,211569,30000,System Sourced,,https://water.ny.gov/doh2/applinks/waterqual/#/waterMaps,https://echo.epa.gov/detailed-facility-report?fid=NY5903465&sys=SDWIS,1
site-45576e7258,site,WA5370450,QUINCY WATER DEPARTMENT CITY OF,WA,8415,2763,System Sourced,,https://geo.wa.gov/datasets/WADOH::drinking-water-service-areas/explore,https://echo.epa.gov/detailed-facility-report?fid=WA5370450&sys=SDWIS,1
site-efc32006bf,site,WA5321800,EAST WENATCHEE WATER DISTRICT,WA,26519,11820,System Sourced,,https://geo.wa.gov/datasets/WADOH::drinking-water-service-areas/explore,https://echo.epa.gov/detailed-facility-report?fid=WA5321800&sys=SDWIS,2
site-6a61aa6d70,site,TN0000069,BRENTWOOD WATER DEPARTMENT,TN,30493,10662,System Sourced,,https://tdec-division-of-water-tdec.hub.arcgis.com/datasets/cc62b90b5775475c94f503cf225c5fd7_0,https://echo.epa.gov/detailed-facility-report?fid=TN0000069&sys=SDWIS,1
site-f7e64e172f,site,NY3100585,WHEATFIELD WD,NY,18117,6358,System Sourced,,https://water.ny.gov/doh2/applinks/waterqual/#/waterMaps,https://echo.epa.gov/detailed-facility-report?fid=NY3100585&sys=SDWIS,1
site-e796fb5b18,site,AZ0410112,TUCSON CITY OF,AZ,732906,191264,System Sourced,,https://gisdata2016-11-18t150447874z-azwater.opendata.arcgis.com/datasets/cws-service-area-1/about,https://echo.epa.gov/detailed-facility-report?fid=AZ0410112&sys=SDWIS,1
site-45f6df4f50,site,NC0114010,"LENOIR, CITY OF",NC,25573,10068,System Sourced,Verified ,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,https://echo.epa.gov/detailed-facility-report?fid=NC0114010&sys=SDWIS,1
site-454336c79f,site,KS2009110,WATER DISTRICT 1 OF JOHNSON CO,KS,482000,157164,System Sourced,,https://hub.kansasgis.org/maps/KSDOT::rural-water-districts/about ,https://echo.epa.gov/detailed-facility-report?fid=KS2009110&sys=SDWIS,1
site-8c3e261116,site,TN0000041,BEAN STATION UTILITY DISTRICT,TN,10378,4102,System Sourced,,https://tdec-division-of-water-tdec.hub.arcgis.com/datasets/cc62b90b5775475c94f503cf225c5fd7_0,https://echo.epa.gov/detailed-facility-report?fid=TN0000041&sys=SDWIS,1
site-6b26b2f908,site,CO0103005,AURORA CITY OF,CO,487365,91912,System Sourced,,https://lead-service-cityofaurora.hub.arcgis.com/,https://echo.epa.gov/detailed-facility-report?fid=CO0103005&sys=SDWIS,1
site-6008f8f0c3,site,NY1400399,ECWA AMHERST,NY,80228,29335,System Sourced,,https://water.ny.gov/doh2/applinks/waterqual/#/waterMaps,https://echo.epa.gov/detailed-facility-report?fid=NY1400399&sys=SDWIS,1
site-284b5d6a1a,site,WI2520062,RACINE WATERWORKS,WI,105100,38925,System Sourced,,https://r-m.maps.arcgis.com/apps/webappviewer/index.html?id=e9fbfa7648fa4fdf8514c3d4100c7ccf,https://echo.epa.gov/detailed-facility-report?fid=WI2520062&sys=SDWIS,1
site-6965cfa84e,site,NC0190413,UNION COUNTY WATER SYSTEM,NC,167554,65966,System Sourced,Verified ,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,https://echo.epa.gov/detailed-facility-report?fid=NC0190413&sys=SDWIS,1
site-41b0db2cda,site,CA3710027,VISTA IRRIGATION DISTRICT,CA,132430,27798,System Sourced,Verified,https://gis.data.ca.gov/datasets/fbba842bf134497c9d611ad506ec48cc/explore,https://echo.epa.gov/detailed-facility-report?fid=CA3710027&sys=SDWIS,1
site-1c1f258092,site,NJ1808001,FRANKLIN TOWNSHIP DEPT OF PUBLIC WORKS,NJ,57150,13287,System Sourced,,https://rutgers.maps.arcgis.com/home/item.html?id=0cb88cd0315e48f491f2122cb824c158,https://echo.epa.gov/detailed-facility-report?fid=NJ1808001&sys=SDWIS,1
site-61d7a33d31,site,AZ0407094,GOODYEAR WATER DEPARTMENT,AZ,50001,18277,System Sourced,,https://gisdata2016-11-18t150447874z-azwater.opendata.arcgis.com/datasets/cws-service-area-1/about,https://echo.epa.gov/detailed-facility-report?fid=AZ0407094&sys=SDWIS,1
site-39f3f010ae,site,IA7727031,DES MOINES WATER WORKS,IA,246055,94000,System Sourced,,,https://echo.epa.gov/detailed-facility-report?fid=IA7727031&sys=SDWIS,1
site-ffbfe22253,site,OK1020418,TULSA,OK,413000,162343,System Sourced,,https://experience.arcgis.com/experience/a6030c6575af4caaad5d5534cf6d5d09/page/Service-Line-Inspection,https://echo.epa.gov/detailed-facility-report?fid=OK1020418&sys=SDWIS,1
site-09c0a1c2f6,site,CT1480011,WALLINGFORD WATER DEPARTMENT,CT,37267,13204,System Sourced,,https://portal.ct.gov/dph/drinking-water/dws/public-water-supply-map,https://echo.epa.gov/detailed-facility-report?fid=CT1480011&sys=SDWIS,1
site-21fba76db0,site,GA1210005,NORTH FULTON COUNTY,GA,434517,149451,System Sourced,,Fulton County Water Service Lookuphttps://fulcogis.maps.arcgis.com/apps/webappviewer/index.html?id=308db7d1802b4158b97f57fa9cb86a7b,https://echo.epa.gov/detailed-facility-report?fid=GA1210005&sys=SDWIS,1
site-8f74e99e7d,site,AZ0402005,"BENSON, CITY OF WATER SYSTEM",AZ,5355,2423,System Sourced,,https://gisdata2016-11-18t150447874z-azwater.opendata.arcgis.com/datasets/cws-service-area-1/about,https://echo.epa.gov/detailed-facility-report?fid=AZ0402005&sys=SDWIS,1
site-3249614081,site,VA4041845,CHESTERFIELD CO CENTRAL WATER SYSTEM,VA,383115,122825,System Sourced,,https://services3.arcgis.com/TsynfzBSE6sXfoLq/arcgis/rest/services/Water_Service_Line_Material_Shape_File/FeatureServer,https://echo.epa.gov/detailed-facility-report?fid=VA4041845&sys=SDWIS,1
site-520cf82574,site,NY4303673,VEOLIA WATER NEW YORK,NY,270000,56150,System Sourced,,https://water.ny.gov/doh2/applinks/waterqual/#/waterMaps,https://echo.epa.gov/detailed-facility-report?fid=NY4303673&sys=SDWIS,1
site-ab723343bb,site,NY3100568,NIAGARA FALLS WATER BOARD,NY,50193,19500,System Sourced,,https://water.ny.gov/doh2/applinks/waterqual/#/waterMaps,https://echo.epa.gov/detailed-facility-report?fid=NY3100568&sys=SDWIS,1
site-b256c590ed,site,VA6107300,"LEESBURG, TOWN OF",VA,65028,16511,System Sourced,,https://services1.arcgis.com/7owdfh5mgjEgbCSM/arcgis/rest/services/LCCRSeptGeocoding_Result/FeatureServer,https://echo.epa.gov/detailed-facility-report?fid=VA6107300&sys=SDWIS,1
site-44a18e2808,site,IL1190250,EDWARDSVILLE,IL,26808,9436,Modeled,,,https://echo.epa.gov/detailed-facility-report?fid=IL1190250&sys=SDWIS,1
site-2fbd22b425,site,WI6170268,MENOMONIE WATERWORKS,WI,15950,4206,System Sourced,,https://www.arcgis.com/home/item.html?id=df3f96cb62974055bb58522fbcdd79d3,https://echo.epa.gov/detailed-facility-report?fid=WI6170268&sys=SDWIS,1
site-dc2080cbb1,site,NM3511707,LAS CRUCES MUNICIPAL WATER SYSTEM,NM,98175,40401,System Sourced,,https://geospatialdata-ose.opendata.arcgis.com/datasets/OSE::new-mexico-public-water-system-boundaries/about,https://echo.epa.gov/detailed-facility-report?fid=NM3511707&sys=SDWIS,1
site-7a5814172b,site,TX0150018,SAN ANTONIO WATER SYSTEM,TX,1999472,725972,System Sourced,,https://www3.twdb.texas.gov/apps/WaterServiceBoundaries/Home/Overview,https://echo.epa.gov/detailed-facility-report?fid=TX0150018&sys=SDWIS,1
site-5f0e174336,site,IL0314400,ELK GROVE VILLAGE,IL,34700,12535,Modeled,,,https://echo.epa.gov/detailed-facility-report?fid=IL0314400&sys=SDWIS,1
site-9f112886a8,site,VA6107350,LOUDOUN WATER - CENTRAL SYSTEM,VA,334808,83426,System Sourced,,https://geodata.dep.state.fl.us/datasets/pws-lead-service-line-inventories-lsli-2/about,https://echo.epa.gov/detailed-facility-report?fid=VA6107350&sys=SDWIS,1
site-38eb70d2ce,site,OH2101412,"DEL-CO WATER COMPANY, INC.",OH,150000,55000,System Sourced,Not Verified,https://del-co.maps.arcgis.com/apps/webappviewer/index.html?id=b13fd43c5eb24f498fafb1d59a96efaa,https://echo.epa.gov/detailed-facility-report?fid=OH2101412&sys=SDWIS,1
site-f724aa0900,site,AZ0407095,MESA CITY OF,AZ,466000,142500,System Sourced,,https://gisdata2016-11-18t150447874z-azwater.opendata.arcgis.com/datasets/cws-service-area-1/about,https://echo.epa.gov/detailed-facility-report?fid=AZ0407095&sys=SDWIS,1
site-f0ff51a73e,site,OK3005106,MUSKOGEE CO. RWD #1 (OKTAHA),OK,2280,932,System Sourced,,https://owrb.csa.ou.edu/server/rest/services/Water_Supply/Water_Systems/MapServer/0,https://echo.epa.gov/detailed-facility-report?fid=OK3005106&sys=SDWIS,1
site-60241eb0cf,site,KS2009110,WATER DISTRICT 1 OF JOHNSON CO,KS,482000,157164,System Sourced,,https://hub.kansasgis.org/maps/KSDOT::rural-water-districts/about ,https://echo.epa.gov/detailed-facility-report?fid=KS2009110&sys=SDWIS,1
site-6213e91668,site,OH2504412,COLUMBUS PUBLIC WATER SYSTEM,OH,1305946,284610,System Sourced,,https://service-line-inventory-columbus.hub.arcgis.com/,https://echo.epa.gov/detailed-facility-report?fid=OH2504412&sys=SDWIS,1
site-1f515bce53,site,MS0450006,CITY OF CANTON,MS,16980,6432,System Sourced,,https://mpsc-mississippi.opendata.arcgis.com/datasets/5a08ea9c3f6140479260f1f15e115bd1_1/about,https://echo.epa.gov/detailed-facility-report?fid=MS0450006&sys=SDWIS,1
site-ab33723ade,site,TX0150018,SAN ANTONIO WATER SYSTEM,TX,1999472,725972,System Sourced,,https://www3.twdb.texas.gov/apps/WaterServiceBoundaries/Home/Overview,https://echo.epa.gov/detailed-facility-report?fid=TX0150018&sys=SDWIS,1
site-13694f0698,site,VA6107350,LOUDOUN WATER - CENTRAL SYSTEM,VA,334808,83426,System Sourced,,https://geodata.dep.state.fl.us/datasets/pws-lead-service-line-inventories-lsli-2/about,https://echo.epa.gov/detailed-facility-report?fid=VA6107350&sys=SDWIS,1
site-a46ad9ccb0,site,AZ0407095,MESA CITY OF,AZ,466000,142500,System Sourced,,https://gisdata2016-11-18t150447874z-azwater.opendata.arcgis.com/datasets/cws-service-area-1/about,https://echo.epa.gov/detailed-facility-report?fid=AZ0407095&sys=SDWIS,1
site-15099c4d20,site,TX0030004,CITY OF LUFKIN,TX,51236,28478,System Sourced,,https://www3.twdb.texas.gov/apps/WaterServiceBoundaries/Home/Overview,https://echo.epa.gov/detailed-facility-report?fid=TX0030004&sys=SDWIS,1
site-6e6ecc8b55,site,TX1270006,HAWLEY WSC,TX,7830,2610,System Sourced,,https://www3.twdb.texas.gov/apps/WaterServiceBoundaries/Home/Overview,https://echo.epa.gov/detailed-facility-report?fid=TX1270006&sys=SDWIS,1
site-8923400c87,site,KS2000702,"MEDICINE LODGE, CITY OF",KS,1723,1020,System Sourced,,https://hub.kansasgis.org/maps/KSDOT::rural-water-districts/about ,https://echo.epa.gov/detailed-facility-report?fid=KS2000702&sys=SDWIS,1
site-edfa96c37a,site,TX0140005,CITY OF TEMPLE,TX,94935,40907,System Sourced,,https://www3.twdb.texas.gov/apps/WaterServiceBoundaries/Home/Overview,https://echo.epa.gov/detailed-facility-report?fid=TX0140005&sys=SDWIS,1
site-edaf2eb301,site,VA6107350,LOUDOUN WATER - CENTRAL SYSTEM,VA,334808,83426,System Sourced,,https://geodata.dep.state.fl.us/datasets/pws-lead-service-line-inventories-lsli-2/about,https://echo.epa.gov/detailed-facility-report?fid=VA6107350&sys=SDWIS,1
site-35ed4f87e7,site,VA6107350,LOUDOUN WATER - CENTRAL SYSTEM,VA,334808,83426,System Sourced,,https://geodata.dep.state.fl.us/datasets/pws-lead-service-line-inventories-lsli-2/about,https://echo.epa.gov/detailed-facility-report?fid=VA6107350&sys=SDWIS,1
site-65de06c201,site,WA5370450,QUINCY WATER DEPARTMENT CITY OF,WA,8415,2763,System Sourced,,https://geo.wa.gov/datasets/WADOH::drinking-water-service-areas/explore,https://echo.epa.gov/detailed-facility-report?fid=WA5370450&sys=SDWIS,1
site-4568e63e8f,site,TX2270001,CITY OF AUSTIN WATER & WASTEWATER,TX,1115323,279758,System Sourced,,https://www3.twdb.texas.gov/apps/WaterServiceBoundaries/Home/Overview,https://echo.epa.gov/detailed-facility-report?fid=TX2270001&sys=SDWIS,1
site-9e4ac0dd01,site,NY2902856,WESTBURY WD,NY,20500,5978,System Sourced,,https://water.ny.gov/doh2/applinks/waterqual/#/waterMaps,https://echo.epa.gov/detailed-facility-report?fid=NY2902856&sys=SDWIS,1
site-8540c17caf,site,NY2900000,TOWN OF HEMPSTEAD WATER DEPARTMENT,NY,110000,34956,System Sourced,,https://water.ny.gov/doh2/applinks/waterqual/#/waterMaps,https://echo.epa.gov/detailed-facility-report?fid=NY2900000&sys=SDWIS,1
site-e8531dfcf6,site,NM3510701,ALBUQUERQUE WATER SYSTEM,NM,560326,206795,System Sourced,,https://geospatialdata-ose.opendata.arcgis.com/datasets/OSE::new-mexico-public-water-system-boundaries/about,https://echo.epa.gov/detailed-facility-report?fid=NM3510701&sys=SDWIS,1
site-5e1eb67b4e,site,MI0006160,SOUTHFIELD,MI,71739,20167,System Sourced,,https://services3.arcgis.com/g3QkxoHFTJZSqad1/arcgis/rest/services/Southfield_Master_CDSMI_Updated_View/FeatureServer,https://echo.epa.gov/detailed-facility-report?fid=MI0006160&sys=SDWIS,1
site-165f31b4ab,site,MI0006160,SOUTHFIELD,MI,71739,20167,System Sourced,,https://services3.arcgis.com/g3QkxoHFTJZSqad1/arcgis/rest/services/Southfield_Master_CDSMI_Updated_View/FeatureServer,https://echo.epa.gov/detailed-facility-report?fid=MI0006160&sys=SDWIS,1
site-a16f5a39e4,site,MI0001023,BYRON-GAINES UTILITY AUTHORITY,MI,37464,20736,Modeled,,,https://echo.epa.gov/detailed-facility-report?fid=MI0001023&sys=SDWIS,1
site-618c1331f4,site,MO1010580,NORTH KANSAS CITY PWS,MO,4500,2100,Modeled,,,https://echo.epa.gov/detailed-facility-report?fid=MO1010580&sys=SDWIS,1
site-473e837aad,site,NE3105507,METROPOLITAN UTILITIES DISTRICT,NE,600000,220882,System Sourced,,https://experience.arcgis.com/experience/0b2b8f5ae71b41e2b483db56eb4ad486,https://echo.epa.gov/detailed-facility-report?fid=NE3105507&sys=SDWIS,1
site-6b057740e4,site,NJ0714001,NEWARK WATER DEPARTMENT,NJ,294274,36402,System Sourced,,https://rutgers.maps.arcgis.com/home/item.html?id=0cb88cd0315e48f491f2122cb824c158,https://echo.epa.gov/detailed-facility-report?fid=NJ0714001&sys=SDWIS,1
site-dfbdbbb454,site,OH2504412,COLUMBUS PUBLIC WATER SYSTEM,OH,1305946,284610,System Sourced,,https://service-line-inventory-columbus.hub.arcgis.com/,https://echo.epa.gov/detailed-facility-report?fid=OH2504412&sys=SDWIS,1
site-fe3d4c1dc4,site,AZ0407025,PHOENIX CITY OF,AZ,1695000,430118,System Sourced,,https://gisdata2016-11-18t150447874z-azwater.opendata.arcgis.com/datasets/cws-service-area-1/about,https://echo.epa.gov/detailed-facility-report?fid=AZ0407025&sys=SDWIS,1
site-93dea1af46,site,MA3305000,WAKEFIELD WATER DEPT,MA,27090,8557,System Sourced,Not Verified,https://www.mass.gov/info-details/massgis-data-massdep-estimated-public-drinking-water-system-service-area-boundaries,https://echo.epa.gov/detailed-facility-report?fid=MA3305000&sys=SDWIS,1
site-14641e2114,site,NV0000190,TRUCKEE MEADOWS WATER AUTHORITY,NV,442000,120047,System Sourced,,Lead and Copper: What TMWA Customers Need to Know - Truckee Meadows Water Authority,https://echo.epa.gov/detailed-facility-report?fid=NV0000190&sys=SDWIS,1
